Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
17,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Devil Jin,,,Kazuya Mishima,,
18,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Panda,,,Bob,,
19,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Heihachi Mishima,,,Lee Chaolan,,
20,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Hwoarang,,,Jack-7,,
21,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Lucky Chloe,,,Marshall Law,,
22,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Feng Wei,,,Bob,,
23,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Claudio Serafino,,,Bob,,
24,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Panda,,,Akuma,,
25,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Master Raven,,,Master Raven,,
26,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,King,,,Panda,,
27,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Miguel,,,Heihachi Mishima,,
28,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Akuma,,,Bob,,
29,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Bryan Fury,,,Akuma,,
30,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Nina Williams,,,Kazumi Mishima,,
31,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Claudio Serafino,,,Lars,,
32,FallenGameR,Pobeditel,Guilty Gear Xrd,FallenGameR,true,I-No,,,Jam Kuradoberi,,
33,FallenGameR,Pobeditel,Guilty Gear Xrd,FallenGameR,true,May,,,Kum Haehyun,,
34,FallenGameR,Pobeditel,Guilty Gear Xrd,Pobeditel,true,Answer,,,Venom,,
35,FallenGameR,Pobeditel,Guilty Gear Xrd,FallenGameR,true,May,,,Potemkin,,
36,FallenGameR,Pobeditel,Guilty Gear Xrd,Pobeditel,true,Jack-O,,,Raven,,
37,FallenGameR,Pobeditel,Guilty Gear Xrd,Pobeditel,true,Baiken,,,Raven,,
38,FallenGameR,Pobeditel,Guilty Gear Xrd,FallenGameR,true,Sol Badguy,,,Faust,,
39,FallenGameR,Pobeditel,Guilty Gear Xrd,Pobeditel,true,Bedman,,,Zato=1,,
40,FallenGameR,Pobeditel,Guilty Gear Xrd,FallenGameR,true,Jack-O,,,Kum Haehyun,,
41,FallenGameR,Pobeditel,Guilty Gear Xrd,FallenGameR,true,Jack-O,,,Chipp Zanuff,,
42,FallenGameR,Pobeditel,Guilty Gear Xrd,FallenGameR,true,Bedman,,,Axl Low,,
43,FallenGameR,Pobeditel,Killer Instinct,FallenGameR,true,General RAAM,,,Cinder,,
44,FallenGameR,Pobeditel,Killer Instinct,FallenGameR,true,Spinal,,,Eyedol,,
45,FallenGameR,Pobeditel,Killer Instinct,FallenGameR,true,Shadow Jago,,,Rash,,
46,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Cassie Cage,,,Predator,,
47,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Takeda,,,Cassie Cage,,
48,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Kotal Kahn,,,Kung Lao,,
49,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Johnny Cage,,,Ferra/Torr,,
50,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Quan Chi,,,Kenshi,,
51,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Shinnok,,,Cassie Cage,,
52,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Alien,,,Predator,,
53,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Goro,,,Goro,,
